Признаки;;;;;;Acc;Recall;Prec;Spec;FPR;mean_attack;mean_no_attack
1;2;3;4;5;6; 0.807106; 0.000171; 1.000000; 1.000000; 0.000000; 0.948130; 0.999997
1;2;3;4;5;7; 0.807106; 0.000171; 1.000000; 1.000000; 0.000000; 0.948130; 0.999997
1;2;3;4;5;8; 0.807106; 0.000171; 1.000000; 1.000000; 0.000000; 0.948130; 0.999997
1;2;3;4;5;9; 0.807106; 0.000171; 1.000000; 1.000000; 0.000000; 0.948130; 0.999997
1;2;3;4;5;10; 0.807106; 0.000171; 1.000000; 1.000000; 0.000000; 0.948130; 0.999997
1;2;3;4;5;11; 0.807106; 0.000171; 1.000000; 1.000000; 0.000000; 0.948130; 0.999997
1;2;3;4;5;12; 0.807106; 0.000171; 1.000000; 1.000000; 0.000000; 0.948130; 0.999997
1;2;3;4;5;13; 0.807106; 0.000171; 1.000000; 1.000000; 0.000000; 0.948130; 0.999997
1;2;3;4;5;14; 0.807106; 0.000171; 1.000000; 1.000000; 0.000000; 0.948130; 0.999997
1;2;3;4;5;15; 0.807106; 0.000171; 1.000000; 1.000000; 0.000000; 0.948130; 0.999997
1;2;3;4;5;16; 0.807106; 0.000171; 1.000000; 1.000000; 0.000000; 0.948130; 0.999997
1;2;3;4;5;17; 0.807106; 0.000171; 1.000000; 1.000000; 0.000000; 0.948130; 0.999997
1;2;3;4;6;7; 0.807106; 0.000171; 1.000000; 1.000000; 0.000000; 0.948130; 0.999997
1;2;3;4;6;8; 0.807106; 0.000171; 1.000000; 1.000000; 0.000000; 0.948130; 0.999997
1;2;3;4;6;9; 0.807106; 0.000171; 1.000000; 1.000000; 0.000000; 0.948130; 0.999997
1;2;3;4;6;10; 0.807106; 0.000171; 1.000000; 1.000000; 0.000000; 0.948130; 0.999997
1;2;3;4;6;11; 0.807106; 0.000171; 1.000000; 1.000000; 0.000000; 0.948130; 0.999997
1;2;3;4;6;12; 0.807106; 0.000171; 1.000000; 1.000000; 0.000000; 0.948130; 0.999997
1;2;3;4;6;13; 0.807106; 0.000171; 1.000000; 1.000000; 0.000000; 0.948130; 0.999997
1;2;3;4;6;14; 0.807106; 0.000171; 1.000000; 1.000000; 0.000000; 0.948130; 0.999997
1;2;3;4;6;15; 0.807106; 0.000171; 1.000000; 1.000000; 0.000000; 0.948130; 0.999997
1;2;3;4;6;16; 0.807106; 0.000171; 1.000000; 1.000000; 0.000000; 0.948130; 0.999997
1;2;3;4;6;17; 0.807106; 0.000171; 1.000000; 1.000000; 0.000000; 0.948130; 0.999997
1;2;3;4;7;8; 0.807106; 0.000171; 1.000000; 1.000000; 0.000000; 0.948130; 0.999997
1;2;3;4;7;9; 0.807106; 0.000171; 1.000000; 1.000000; 0.000000; 0.948130; 0.999997
1;2;3;4;7;10; 0.807106; 0.000171; 1.000000; 1.000000; 0.000000; 0.948130; 0.999997
1;2;3;4;7;11; 0.807106; 0.000171; 1.000000; 1.000000; 0.000000; 0.948130; 0.999997
1;2;3;4;7;12; 0.807106; 0.000171; 1.000000; 1.000000; 0.000000; 0.948130; 0.999997
1;2;3;4;7;13; 0.807106; 0.000171; 1.000000; 1.000000; 0.000000; 0.948130; 0.999997
1;2;3;4;7;14; 0.807106; 0.000171; 1.000000; 1.000000; 0.000000; 0.948130; 0.999997
1;2;3;4;7;15; 0.807106; 0.000171; 1.000000; 1.000000; 0.000000; 0.948130; 0.999997
1;2;3;4;7;16; 0.807106; 0.000171; 1.000000; 1.000000; 0.000000; 0.948130; 0.999997
1;2;3;4;7;17; 0.807106; 0.000171; 1.000000; 1.000000; 0.000000; 0.948130; 0.999997
1;2;3;4;8;9; 0.807106; 0.000171; 1.000000; 1.000000; 0.000000; 0.948130; 0.999997
1;2;3;4;8;10; 0.807106; 0.000171; 1.000000; 1.000000; 0.000000; 0.948130; 0.999997
1;2;3;4;8;11; 0.807106; 0.000171; 1.000000; 1.000000; 0.000000; 0.948130; 0.999997
1;2;3;4;8;12; 0.807106; 0.000171; 1.000000; 1.000000; 0.000000; 0.948130; 0.999997
1;2;3;4;8;13; 0.807106; 0.000171; 1.000000; 1.000000; 0.000000; 0.948130; 0.999997
1;2;3;4;8;14; 0.807106; 0.000171; 1.000000; 1.000000; 0.000000; 0.948130; 0.999997
1;2;3;4;8;15; 0.807106; 0.000171; 1.000000; 1.000000; 0.000000; 0.948130; 0.999997
1;2;3;4;8;16; 0.807106; 0.000171; 1.000000; 1.000000; 0.000000; 0.948130; 0.999997
1;2;3;4;8;17; 0.807106; 0.000171; 1.000000; 1.000000; 0.000000; 0.948130; 0.999997
1;2;3;4;9;10; 0.807106; 0.000171; 1.000000; 1.000000; 0.000000; 0.948130; 0.999997
1;2;3;4;9;11; 0.807106; 0.000171; 1.000000; 1.000000; 0.000000; 0.948130; 0.999997
1;2;3;4;9;12; 0.807106; 0.000171; 1.000000; 1.000000; 0.000000; 0.948130; 0.999997
1;2;3;4;9;13; 0.807106; 0.000171; 1.000000; 1.000000; 0.000000; 0.948130; 0.999997
1;2;3;4;9;14; 0.807106; 0.000171; 1.000000; 1.000000; 0.000000; 0.948130; 0.999997
1;2;3;4;9;15; 0.807106; 0.000171; 1.000000; 1.000000; 0.000000; 0.948130; 0.999997
1;2;3;4;9;16; 0.807106; 0.000171; 1.000000; 1.000000; 0.000000; 0.948130; 0.999997
1;2;3;4;9;17; 0.807106; 0.000171; 1.000000; 1.000000; 0.000000; 0.948130; 0.999997
1;2;3;4;10;11; 0.807106; 0.000171; 1.000000; 1.000000; 0.000000; 0.948130; 0.999997
1;2;3;4;10;12; 0.807106; 0.000171; 1.000000; 1.000000; 0.000000; 0.948130; 0.999997
1;2;3;4;10;13; 0.807106; 0.000171; 1.000000; 1.000000; 0.000000; 0.948130; 0.999997
1;2;3;4;10;14; 0.807106; 0.000171; 1.000000; 1.000000; 0.000000; 0.948130; 0.999997
1;2;3;4;10;15; 0.807106; 0.000171; 1.000000; 1.000000; 0.000000; 0.948130; 0.999997
1;2;3;4;10;16; 0.807106; 0.000171; 1.000000; 1.000000; 0.000000; 0.948130; 0.999997
1;2;3;4;10;17; 0.807106; 0.000171; 1.000000; 1.000000; 0.000000; 0.948130; 0.999997
1;2;3;4;11;12; 0.807106; 0.000171; 1.000000; 1.000000; 0.000000; 0.948130; 0.999997
1;2;3;4;11;13; 0.807106; 0.000171; 1.000000; 1.000000; 0.000000; 0.948130; 0.999997
1;2;3;4;11;14; 0.807106; 0.000171; 1.000000; 1.000000; 0.000000; 0.948130; 0.999997
1;2;3;4;11;15; 0.807106; 0.000171; 1.000000; 1.000000; 0.000000; 0.948130; 0.999997
1;2;3;4;11;16; 0.807106; 0.000171; 1.000000; 1.000000; 0.000000; 0.948130; 0.999997
1;2;3;4;11;17; 0.807106; 0.000171; 1.000000; 1.000000; 0.000000; 0.948130; 0.999997
1;2;3;4;12;13; 0.807106; 0.000171; 1.000000; 1.000000; 0.000000; 0.948130; 0.999997
1;2;3;4;12;14; 0.807106; 0.000171; 1.000000; 1.000000; 0.000000; 0.948130; 0.999997
1;2;3;4;12;15; 0.807106; 0.000171; 1.000000; 1.000000; 0.000000; 0.948130; 0.999997
1;2;3;4;12;16; 0.807106; 0.000171; 1.000000; 1.000000; 0.000000; 0.948130; 0.999997
1;2;3;4;12;17; 0.807106; 0.000171; 1.000000; 1.000000; 0.000000; 0.948130; 0.999997
1;2;3;4;13;14; 0.807106; 0.000171; 1.000000; 1.000000; 0.000000; 0.948130; 0.999997
1;2;3;4;13;15; 0.807106; 0.000171; 1.000000; 1.000000; 0.000000; 0.948130; 0.999997
1;2;3;4;13;16; 0.807106; 0.000171; 1.000000; 1.000000; 0.000000; 0.948130; 0.999997
1;2;3;4;13;17; 0.807106; 0.000171; 1.000000; 1.000000; 0.000000; 0.948130; 0.999997
1;2;3;4;14;15; 0.807106; 0.000171; 1.000000; 1.000000; 0.000000; 0.948130; 0.999997
1;2;3;4;14;16; 0.807106; 0.000171; 1.000000; 1.000000; 0.000000; 0.948130; 0.999997
1;2;3;4;14;17; 0.807106; 0.000171; 1.000000; 1.000000; 0.000000; 0.948130; 0.999997
1;2;3;4;15;16; 0.807106; 0.000171; 1.000000; 1.000000; 0.000000; 0.948130; 0.999997
1;2;3;4;15;17; 0.807106; 0.000171; 1.000000; 1.000000; 0.000000; 0.948130; 0.999997
1;2;3;4;16;17; 0.807106; 0.000171; 1.000000; 1.000000; 0.000000; 0.948130; 0.999997
1;2;3;5;6;7; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;5;6;8; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;5;6;9; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;5;6;10; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;5;6;11; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;5;6;12; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;5;6;13; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;5;6;14; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;5;6;15; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;5;6;16; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;5;6;17; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;5;7;8; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;5;7;9; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;5;7;10; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;5;7;11; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;5;7;12; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;5;7;13; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;5;7;14; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;5;7;15; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;5;7;16; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;5;7;17; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;5;8;9; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;5;8;10; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;5;8;11; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;5;8;12; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;5;8;13; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;5;8;14; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;5;8;15; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;5;8;16; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;5;8;17; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;5;9;10; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;5;9;11; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;5;9;12; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;5;9;13; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;5;9;14; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;5;9;15; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;5;9;16; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;5;9;17; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;5;10;11; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;5;10;12; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;5;10;13; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;5;10;14; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;5;10;15; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;5;10;16; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;5;10;17; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;5;11;12; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
